"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","672","testing Facade pattern","chromium","2026-09-15","passed","2026-09-15","","checkout.spec.ts","",""
"","389","Тест логина для пользователя: standard_user","chromium","2026-09-15","passed","2026-09-15","","login_ddt.spec.ts","",""
"","6555","testing Facade pattern","webkit","2026-09-15","passed","2026-09-15","","checkout.spec.ts","",""
"","1969","testing Facade pattern","firefox","2026-09-15","passed","2026-09-15","","checkout.spec.ts","",""
"","384","Тест логина для пользователя:","chromium","2026-09-15","passed","2026-09-15","","login_ddt.spec.ts","",""
"","1047","Считаем товары в корзине","firefox","2026-09-15","passed","2026-09-15","","inventory.spec.ts","",""
"","685","Тест логина для пользователя:","webkit","2026-09-15","passed","2026-09-15","","login_ddt.spec.ts","",""
"","2278","Check Click Me Button","firefox","2026-09-15","passed","2026-09-15","","modalWindow.spec.ts","",""
"","4053","Check Click Me Button","webkit","2026-09-15","passed","2026-09-15","","modalWindow.spec.ts","",""
"","1","Дата возвращается в нужном формате","firefox","2026-09-15","passed","2026-09-15","","getFormattedDate.spec.ts","",""
"","875","Successful login","firefox","2026-09-15","passed","2026-09-15","","login_pom.spec.ts","",""
"","756","Тест логина для пользователя:","firefox","2026-09-15","passed","2026-09-15","","login_ddt.spec.ts","",""
"","869","Тест логина для пользователя: locked_out_user","firefox","2026-09-15","passed","2026-09-15","","login_ddt.spec.ts","",""
"","413","Тест логина для пользователя: locked_out_user","chromium","2026-09-15","passed","2026-09-15","","login_ddt.spec.ts","",""
"","1076","Считаем товары в корзине","webkit","2026-09-15","passed","2026-09-15","","inventory.spec.ts","",""
"","1983","Check Click Me Button","chromium","2026-09-15","passed","2026-09-15","","modalWindow.spec.ts","",""
"","706","Unsuccessful login","webkit","2026-09-15","passed","2026-09-15","","factory.spec.ts","",""
"","886","Successful login","webkit","2026-09-15","passed","2026-09-15","","login_pom.spec.ts","",""
"","837","Unsuccessful login","firefox","2026-09-15","passed","2026-09-15","","factory.spec.ts","",""
"","712","Тест логина для пользователя: locked_out_user","webkit","2026-09-15","passed","2026-09-15","","login_ddt.spec.ts","",""
"","717","Тест логина для пользователя: standard_user","webkit","2026-09-15","passed","2026-09-15","","login_ddt.spec.ts","",""
"","430","Successful login","chromium","2026-09-15","passed","2026-09-15","","login_pom.spec.ts","",""
"","1","Дата возвращается в нужном формате","webkit","2026-09-15","passed","2026-09-15","","getFormattedDate.spec.ts","",""
"","790","Тест логина для пользователя: standard_user","firefox","2026-09-15","passed","2026-09-15","","login_ddt.spec.ts","",""
"","413","Unsuccessful login","chromium","2026-09-15","passed","2026-09-15","","factory.spec.ts","",""
"","1","Дата возвращается в нужном формате","chromium","2026-09-15","passed","2026-09-15","","getFormattedDate.spec.ts","",""
"","518","Считаем товары в корзине","chromium","2026-09-15","passed","2026-09-15","","inventory.spec.ts","",""
